"trick","obstacledetail","obstacle","cnt"
"bs boardslide","into hill","flat rail",1
"bs boardslide","kinked hubba","hubba",1
"bs boardslide","knobbed","handrail",1
"bs boardslide","ledge to rail to handrail","ledge",1
"bs boardslide to bridge slide to fakie","benches","ledge",1
"bs boardslide to bs boardslide","handrail to hubba","handrail",1
"bs boardslide to fs shuv to 5050","rail to rail","flat rail",1
"bs boardslide to fs shuv transfer","into bank","handrail",1
"bs boardslide to fs tailslide","to can","hubba",1
"bs boardslide to kickflip","pipes","flat rail",1
"bs boardslide to kickflip to bs boardslide","plain jane","curb",1
"bs boardslide to sw fs 5050","handrail to ledge","handrail",1
"bs boardslide to transfer fs 5-0","into bank","flat rail",1
"bs crook","double kink","handrail",1
"bs crook","into bank","flat rail",1
"bs crook","into bank","ledge",1
"bs crook","plain jane","handrail",1
"bs crook","plain jane","hubba",1
"bs crook","plain jane","ledge",2
"bs crook bonk","outledge","ledge",1
"bs crook to bs crook","to ledge","ledge",1
"bs crook to hippie jump","flat rail to gap","flat rail",1
"bs feeble","curved ledge","ledge",1
"bs front foot no comply","street transition","transition",1
"bs halfcab roll off to manny to slappy bs blunt transfer to fakie","plain jane","curb",1
"bs kickflip","channel","bank",1
"bs kickflip","double set","stairs",1
"bs kickflip","flat gap","gap",2
"bs kickflip","plain jane","bank",1
"bs kickflip","plain jane","gap",1
"bs kickflip","up gap","gap",1
"bs kickflip to sw bs 5-0","bump to ledge","ledge",1
ckflip to sw bs nosegrind","plain jane","ledge",1
bs lipslide","gap to ledge","ledge",1
"bs lipslide","outledge","ledge",1
"bs lipslide","plain jane","handrail",2
"bs lipslide to bs tailslide","plain jane","ledge",1
"bs lipslide to fs shuv","ledge to stairs","ledge",1
"bs lipslide to shuv","plain jane","ledge",1
"bs nose bonk to nollie shuv","plain jane","ledge",1
"bs noseblunt","gap to ledge","ledge",1
"bs noseblunt","into bank","ledge",1
"bs noseblunt","table","ledge",1
"bs noseblunt stall","quarterpipe","transition",1
"bs noseblunt to fakie","curved ledge","ledge",1
"bs noseblunt to fakie","plain jane","ledge",1
"bs noseblunt to nollie fs shuv","into bank","ledge",1
"bs nosegrind","gap to ledge","ledge",1
"bs nosegrind","plain jane","ledge",2
"bs nosegrind to nollie fs kickflip","outledge","ledge",1
"bs nosegrind to nollie heelflip","plain jane","ledge",1
"bs noseslide","ledge to gap","ledge",2
"bs noseslide","outledge","ledge",1
"bs noseslide","plain jane","flat rail",1
"bs noseslide","plain jane","handrail",1
"bs noseslide","plain jane","hubba",1
"bs noseslide to bs 5-0","to handrail","hubba",1
"bs noseslide to bs 5050","plain jane","hubba",1
"bs noseslide to bs blunt to fakie","ledge to ledge","ledge",1
"bs noseslide to fakie","bank to ledge","ledge",1
"bs noseslide to nollie heelflip","gap to ledge","ledge",1
"bs noseslide to nollie kickflip","curved ledge","ledge",1
"bs noseslide to nollie kickflip","plain jane","ledge",1
"bs ollie","channel","gap",1
"bs shuv to bs tailslide","gap to curb to gap","curb",1
"bs smith","bump to rail","flat rail",1
"bs smith","out rail","flat rail",1
"bs smith","plain jane","ledge",1
"bs smith to bs bigspin","curved ledge","ledge",1
"bs smith to bs noseblunt","plain jane","flat rail",1
"bs tailslide","outledge","ledge",2
"bs tailslide to bs 270","outledge","ledge",1
"bs tailslide to bs 270","plain jane","flat rail",1
"bs tailslide to bs body varial","plain jane","ledge",1
"bs tailslide to bs kickflip","plain jane","ledge",1
"bs tailslide to fakie","curved ledge","curb",1
"bs tailslide to shuv","plain jane","ledge",1
"bs wallie","into bank","wall",1
"bs wallie to bs 5050","to ledge","wall",1
"bs wallride","plain jane","wall",1
"bs wallride nollie out","on mailbox","wall",1
"bs wallride nollie out","plain jane","wall",1
"bs wallride to bs 180 melon","plain jane","wall",1
"bs wallride to bs bigspin","wall to stairs","wall",1
"bs wallride to kickflip","wall to bank","wall",1
"bs wallride to melon","plain jane","wall",1
"bump-n-jump nollie to fs 5050","gap to curb","curb",1
"casper stall","plain jane","bank",1
"caveman to bs smith","curved ledge","ledge",1
"deck bonk","into bank","flat rail",1
"deck bonk to nosegrind","bench","ledge",1
"dolphin flip","flat gap","gap",1
"drop in 5050 to fs 5050","handrail to hubba","handrail",1
"drop to sw manny to sw ollie","gap to pad to gap","pad",1
"fakie 360 flip","bump to gap","gap",1
"fakie big flip","over can","gap",1
"fakie big flip","plain jane","gap",1
"fakie fs kickflip","over rail","gap",1
"fakie fs kickflip","plain jane","stairs",1
"fakie fs kickflip to fs noseslide","plain jane","ledge",1
"fakie hardflip","plain jane","stairs",1
"fakie hardflip to sw bs noseslide to regular","plain jane","ledge",1
"fakie hardflip to sw fs 5-0","plain jane","ledge",1
"fakie heelflip","into bank to drop","gap",1
"fakie heelflip","plain jane","stairs",1
"fakie kickflip","into bank","gap",1
"fakie kickflip","plain jane","gap",2
"fakie kickflip to sw bs crook","plain jane","ledge",1
"fakie kickflip to sw bs nosegrind","plain jane","ledge",1
"fakie kickflip to sw fs 5-0","outledge","ledge",1
"fakie manny to fakie bigspin to manny","plain jane","pad",1
"fakie manny to fakie kickflip","to stairs","pad",1
"fakie ollie","over handrail","gap",1
