week,date,rank,skater,trick,line,switch,stance,slowmo,replayed,slam,NY,oddball,obstacle,obstacledetail,location,notes,points,video,videotype,company,ig
48,12/2/22,8,Mariah Duran,hardflip,,,regular,1,1,,,,stairs,,,woman,3,Thunder Trucks,company,Thunder,
48,12/2/22,7,Deedz,bs noseblunt,1,,regular,,,,,,ledge,into bank,,,4,HVVS,solo,,
48,12/2/22,6,Gustav Tonnesen,sw hardflip to bs tailslide,1,1,switch,,,,,,ledge,,,euramp,5,Jante - 11:00,homie,,
48,12/2/22,5,Nisse Ingemarsson,bs boardslide to fs shuv to 5050,,,regular,1,1,,,1,flat rail,rail to rail,,,6,,,,
48,12/2/22,4,Davide Holznecht,halfcab to bs noseslide to sw fs 270 to fakie manual,1,,fakie,1,1,,,,ledge,,,combo,7,Davide,solo,Helas,
48,12/2/22,3,Vincent Huhta,bs crook,1,,regular,1,1,,,,ledge,into bank,,into stairs,8,,,,
48,12/2/22,2,Noah Mahieu,bs noseslide to bs 5050,,,regular,1,,,,,hubba,,,,9,Magic Mirror,solo,,
48,12/2/22,1,Olli Lilja,bs tailslide,,,regular,1,1,,,,ledge,outledge,,,10,Good Riddance,company,Bye Jeremy,
49,12/9/22,10,Dan Lundy,slappy bs 5050,,,regular,,,,,,curb,around corner,,,1,DUPLEX 4,homie,,
49,12/9/22,9,Sage Elsesser,fs noseblunt,1,,regular,,,,1,,ledge,,Flushings Fountain,,2,Play Dead,company,Supreme,
49,12/9/22,8,Kris Brown,kickflip to bs tailslide to bs bigspin,,,regular,1,1,,1,,handrail,,,,3,Play Dead,company,Supreme,
49,12/9/22,7,Patrick O'Mara,bs 360,,,regular,,,,1,,stairs,,,,4,Play Dead,company,Supreme,
49,12/9/22,6,Ben Kadow,bs boardslide,,,regular,1,1,,1,,handrail,knobbed,,,5,Play Dead,company,Supreme,
49,12/9/22,5,Jace Detomasso,ollie,,,regular,1,,,,,gap,over rail,Miami Leap of Fait,bigger than leap of faith,6,DUPLEX 4,homie,,
49,12/9/22,4,Louie Lopez,manual to bs bigspin,1,,regular,,,,,,pad,,Bay Blocks,,7,As You Wish,company,CONS,
49,12/9/22,3,Sully Cormier,no comply,,,regular,,,,1,1,stairs,up stairs,,,8,Play Dead,company,Supreme,
49,12/9/22,2,T Funk,bs 180,,,regular,1,1,,,,gap,into bank,Ocean Beach wall,,9,Deep Fried x Baer,company,Deep Fried x Baker,
49,12/9/22,1,Tyshawn Jones,bs kickflip,,,regular,1,1,,1,,gap,flat gap,Subway Gap,,10,,,,1
50,12/16/22,10,Rezza Honarvar,fakie kickflip,1,,fakie,,1,,,,gap,,,2 clips,1,Rascal,homie,,
50,12/16/22,9,Josh Wolff,bs 360,,,regular,1,1,,,,gap,,,,2,Rascal,homie,,
50,12/16/22,8,Elijah Odom,fs 5050,,,regular,,,,,,ledge,bump to bar to ledge,,,3,Rascal,homie,,
50,12/16/22,7,Mark Del Negro,nollie fs kickflip,1,,nollie,,,,,,gap,,Muni,,4,untitled 006,homie,,
50,12/16/22,6,Rob Maatman,bs nosegrind,,,regular,1,,,,1,ledge,,,insane ,5,Hollandsch Diep,company,Carhartt WIP,
50,12/16/22,5,Matlock Bennett-Jones,fs lipslide,1,,regular,,,,,,handrail,,,quick feet,6,MBJ,company,Passport,
50,12/16/22,4,Kevin Baekkel,fs 5050,1,,regular,1,1,,,,flat rail,into bank,,gnarly hill bomb,7,Empower,company,Emerica,
50,12/16/22,3,Quel Haddox,fs 5050,,,regular,,,,1,1,hubba,up hubba,NYC hubba to ledge,,8,untitled 006,homie,,
50,12/16/22,2,Walker Ryan,bs nosegrind to nollie fs kickflip,,,regular,,,,1,,ledge,outledge,pyramid ledges,,9,,,,1
50,12/16/22,1,Drake Johnson,fakie ollie,,,fakie,1,1,,1,,gap,over handrail,columbus park,straight over handrail,10,See You Later,solo,,
